"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
665,657277,"Webb, Logan",2515,26.4,0.261,0.123,0.344,0.383,0.3,0.307,0.261,161,618,89,4.5,1991,89.1,89.98,132,583,82,0.9000000000000057,6.82,111,149,121,148,293,323,295,"1.573","-1.573","69.7","7.0",665,451,109,39,2,11,175,26.3,35,5.3,2.91229,-0.02883,0.46481,0.04499,"94.7",135,40.88888888888889,8,5.413533834586466,5,-2.08,0.07,2.24,0.303,36,"-0.236541353",0.304,0.401,"0.236541353",0,-0.0010000000000000009,-0.018,-0.007,22.6,"22.1",6.238170551694108,4.863308615130548,33.46332118845254,0.4757630161579892,37.29583786170654,27.763935783870735
636,676979,"Crochet, Garrett",2471,25.7,0.219,0.116,0.302,0.336,0.268,0.279,0.22,130,593,87,9.8,2468,91.6,92.26,156,554,82,0.7000000000000028,6.72,108,150,118,146,291,321,288,"18.918","-18.918","69.6","7.2",636,398,91,23,2,14,196,30.8,41,6.4,2.10392,0.65153,0.08709,-0.00753,"94.0",151,38.287153652392945,7.304785894206549,4.559748427672956,6.12,2.5,0.01,2.4,0.27,29,"-2.974528302",0.272,0.363,"2.974528302",-0.001,-0.0020000000000000018,-0.027,-0.011,28.2,"35.2",9.130745133046705,-0.8354354794457858,31.813572161521435,0.5383177570093458,36.322963926127564,29.776360852775767
633,667755,"Soriano, José",2399,26.4,0.252,0.109,0.31,0.361,0.31,0.325,0.259,141,559,91,-3.5,2065,93.9,94.58,110,545,88,0.6999999999999886,6.66,108,147,120,149,304,326,301,"1.011","-1.011","70.2","7.2",633,435,103,26,1,11,130,20.5,64,10.1,2.55445,0.05475,0.50355,-0.15784,"96.0",107,49.195402298850574,7.816091954022989,5.371248025276461,5.9,-1.17,-0.06,2.09,0.332,34,"-0.15971564",0.34,0.395,"0.15971564",-0.007,-0.008000000000000007,-0.034,-0.015,20.2,"37.1",7.092587462935868,3.07023085838088,33.95115775644679,0.49034749034749037,38.36639181959158,27.495457719522477
624,664285,"Valdez, Framber",2248,27.8,0.23,0.109,0.296,0.339,0.283,0.305,0.248,129,560,89.8,1.4,2407,88.4,87.34,127,545,79,-1.1000000000000085,5.89,109,149,119,146,303,326,298,"9.037","-9.037","70.1","7.3",624,418,89,28,3,9,151,24.2,49,7.9,3.1928,-0.18992,0.38893,-0.1646,"95.1",124,46.52278177458034,6.474820143884892,4.326923076923077,6,0.71,0.02,2.04,0.297,27,"-1.448237179",0.315,0.37,"1.448237179",-0.018,-0.018000000000000016,-0.031,-0.022,23.3,"42.0",7.981319416560937,-1.0844675013826564,33.84252617175814,0.5239923224568138,36.814950619063886,29.99280336186223
620,668678,"Gallen, Zac",2351,26.4,0.255,0.194,0.292,0.449,0.333,0.349,0.266,143,561,90.2,12.3,2226,88.8,89.14,95,529,91,0.29999999999999716,6.56,112,149,120,149,302,324,300,"-16.68","16.68","70.4","7.3",620,434,85,31,3,24,131,21.1,51,8.2,2.38821,0.53911,0.17495,-0.05427,"95.0",177,44.57274826789838,10.392609699769054,7.258064516129033,5.95,-2.82,-0.04,2.2,0.32,45,"2.690322581",0.331,0.479,"-2.690322581",-0.011,-0.01100000000000001,-0.03,-0.016,18,"41.6",10.575210286876555,-2.8812441910011977,33.731779805483235,0.6159844054580896,36.70607197192551,31.365255725014265
617,608331,"Fried, Max",2416,25.5,0.228,0.13,0.281,0.358,0.284,0.306,0.248,130,570,87.1,8.3,2363,89.3,89.72,107,537,80,0.4000000000000057,6.51,111,150,123,151,294,322,285,"10.104","-10.104","70.8","7.1",617,430,89,21,7,13,141,22.9,37,6,2.6771,0.24688,-0.05804,0.02002,"93.8",148,38.64168618266979,7.494145199063232,5.186385737439222,6.02,1.59,-0.05,2.39,0.286,32,"-1.637601297",0.304,0.394,"1.637601297",-0.02,-0.018000000000000016,-0.036,-0.022,19.9,"46.8",7.065437710351132,3.0103007650959603,32.08994674941985,0.4914933837429111,36.10315707897145,28.188502799636403
617,579328,"Kikuchi, Yusei",2511,24.6,0.262,0.146,0.323,0.409,0.324,0.336,0.258,145,553,90.8,15.9,2188,88.3,89,118,527,90,0.7000000000000028,6.76,107,150,118,147,305,325,298,"-8.017","8.017","71.4","7.4",617,409,103,22,1,19,149,24.1,57,9.2,2.44791,0.51148,0.2406,-0.22719,"95.1",179,42.40196078431372,9.558823529411764,6.3209076175040515,5.36,2.46,0.12,2.28,0.331,39,"1.299351702",0.329,0.444,"-1.299351702",0.004,0.0020000000000000018,-0.035,-0.012,22.4,"36.0",8.980072854999763,-0.4166073895213686,31.809280274460423,0.5573122529644269,38.0860302359576,30.66048773977701
609,621244,"Berríos, José",2239,27.2,0.254,0.174,0.287,0.428,0.325,0.343,0.261,140,552,89.5,16.2,2047,88.6,88.6,83,517,92,0,6.41,110,148,118,148,293,325,298,"-6.344","6.344","71.5","7.4",609,434,90,26,2,22,121,19.9,47,7.7,2.4023,0.5358,0.53008,-0.1253,"94.5",170,41.570438799076214,11.085450346420323,7.8817733990147785,5.64,-2,-0.16,2.27,0.319,48,"1.041707718",0.328,0.462,"-1.041707718",-0.007,-0.009000000000000008,-0.034,-0.018,16.1,"38.5",10.648202266810268,-1.7282180156271736,33.278180733138775,0.635814889336016,37.18691602462345,30.86249484120732
609,650911,"Sánchez, Cristopher",2181,27.9,0.227,0.09,0.296,0.317,0.267,0.28,0.232,128,565,88.8,3.4,2095,90.3,91.24,128,538,71,0.9000000000000057,7.01,106,149,117,147,299,320,286,"18.158","-18.158","70.9","7.4",609,410,97,21,0,10,157,25.8,36,5.9,2.73163,0.10363,1.23655,-0.81743,"94.4",129,40.44117647058824,5.392156862745098,3.6124794745484397,5.91,2,0.16,2.05,0.28,22,"-2.981609195",0.286,0.348,"2.981609195",-0.005,-0.00599999999999995,-0.031,-0.013,23.8,"29.4",9.403820846822375,-2.2388387678811985,33.6189075226828,0.5115830115830116,38.78623689417295,31.51170544033863
608,641793,"Littell, Zack",2188,27.8,0.25,0.189,0.259,0.438,0.31,0.337,0.273,144,577,90,13.3,1800,87.6,87.45,80,558,50,-0.09999999999999432,6.2,111,149,120,149,299,326,296,"-1.972","1.972","71.5","7.3",608,478,89,28,0,27,102,16.8,23,3.8,2.44278,0.55104,0.54106,-0.0404,"94.5",170,41.806722689075634,10.084033613445378,7.894736842105263,6.1,-0.73,0.09,2.5,0.283,48,"0.324342105",0.307,0.48,"-0.324342105",-0.023,-0.02400000000000002,-0.042,-0.027,14.3,"38.7",10.548346898095907,-1.3420901832327665,30.97683484217466,0.6074074074074074,37.346480735126526,30.916510875747537
