"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
2515,657277,"Webb, Logan",2515,100,0.261,0.123,0.344,0.383,0.3,0.307,0.261,161,618,89,4.5,2033,89,89.84,287,1171,1344,0.7999999999999972,6.8,110,149,120,148,294,323,296,"11.864","-11.864","69.5","7.0",666,451,109,39,2,11,175,26.3,35,5.3,2.8891,0.0026,0.38919,0.08051,"92.2",132,40.88888888888889,8,5.405405405405405,5.02,-2.09,0.15,2.29,0.303,36,"-0.471729622",0.304,0.401,"0.471729622",0,-0.0010000000000000009,-0.018,-0.007,24.5,"22.4",6.471560316211762,4.801859901016751,33.56447737755098,0.43996494303242767,37.01507163631035,27.203167760597687
2511,579328,"Kikuchi, Yusei",2511,100,0.262,0.146,0.323,0.409,0.324,0.336,0.258,145,553,90.8,15.9,2185,88.7,89.44,286,1215,1296,0.7000000000000028,6.76,107,150,116,147,307,327,300,"-3.377","3.377","70.8","7.3",617,409,103,22,1,19,149,24.1,57,9.2,2.33764,0.59325,0.27613,-0.2263,"92.1",167,42.40196078431372,9.558823529411764,6.3209076175040515,5.37,2.46,0.12,2.32,0.331,39,"0.134488252",0.329,0.444,"-0.134488252",0.004,0.0020000000000000018,-0.035,-0.012,23.5,"35.9",7.456036059557628,1.1569836783581577,32.16729649135947,0.45446880269814505,37.52935419437394,29.11265283969638
2471,676979,"Crochet, Garrett",2471,100,0.219,0.116,0.302,0.336,0.268,0.279,0.22,130,593,87,9.8,2464,92.4,93.04,373,1270,1201,0.5999999999999943,6.73,107,150,116,146,291,321,288,"29.04","-29.04","69.6","7.2",637,398,91,23,2,14,196,30.8,41,6.4,1.94423,0.75905,0.2406,-0.13086,"91.8",152,38.287153652392945,7.304785894206549,4.552590266875981,6.11,2.51,0.07,2.48,0.27,29,"-1.175232699",0.272,0.363,"1.175232699",-0.001,-0.0020000000000000018,-0.027,-0.011,29.4,"34.6",9.039593129611355,-0.9063293226320848,32.180614975866,0.4827586206896552,35.851205447919774,29.274956433171543
2426,607074,"Rodón, Carlos",2426,100,0.186,0.148,0.228,0.333,0.27,0.287,0.206,98,528,88.3,14.2,2334,89.5,88.95,340,1085,1341,-0.5999999999999943,6.06,110,150,121,151,294,321,284,"20.766","-20.766","69.9","7.3",595,368,58,21,0,19,164,27.6,58,9.7,2.264,0.62085,0.45386,-0.24282,"91.8",153,39.89071038251366,8.469945355191257,5.2100840336134455,6.34,2.34,0.1,2.13,0.272,31,"-0.855976917",0.291,0.356,"0.855976917",-0.02,-0.01899999999999996,-0.023,-0.017,31.3,"44.3",10.336716567284455,-2.434768553757953,32.55759438467541,0.5207939508506616,37.2369602903925,30.866764063655182
2416,608331,"Fried, Max",2416,100,0.228,0.13,0.281,0.358,0.284,0.306,0.248,130,570,87.1,8.3,2387,88.2,88.5,286,1135,1281,0.29999999999999716,6.48,111,150,121,151,294,322,285,"11.323","-11.323","70.1","7.1",617,430,89,21,7,13,141,22.9,37,6,2.84181,0.17105,-0.11282,0.06151,"91.8",142,38.64168618266979,7.494145199063232,5.186385737439222,6.02,1.63,-0.03,2.38,0.286,32,"-0.468667219",0.304,0.394,"0.468667219",-0.02,-0.018000000000000016,-0.036,-0.022,25.2,"46.4",7.047974141971044,2.9997192852931582,32.4727303817581,0.4541406945681211,35.93988612223428,28.127476891429186
2414,592662,"Ray, Robbie",2414,100,0.208,0.154,0.255,0.362,0.284,0.297,0.222,112,538,90.4,15.9,2222,89.5,89.12,338,1205,1209,-0.4000000000000057,6.12,109,150,121,148,295,324,292,"12.847","-12.847","69.9","7.2",600,391,65,28,2,17,152,25.3,55,9.2,1.86759,1.00977,0.46854,-0.29761,"91.9",168,44.96124031007752,8.2687338501292,5.333333333333334,6.18,2.68,0.02,2.43,0.282,32,"-0.532187241",0.297,0.379,"0.532187241",-0.014,-0.015000000000000013,-0.017,-0.013,28,"45.5",9.442794527409502,0.00957546469519606,30.801135796580823,0.4911092294665538,37.059194671244924,29.21243872112376
2399,667755,"Soriano, José",2399,100,0.252,0.109,0.31,0.361,0.31,0.325,0.259,141,559,91,-3.5,2086,93.1,93.66,294,1092,1307,0.6000000000000085,6.65,109,147,117,149,306,327,303,"0.745","-0.745","69.8","7.3",634,435,103,26,1,11,130,20.5,64,10.1,2.66534,-0.00286,0.38611,-0.15736,"93.6",105,49.195402298850574,7.816091954022989,5.3627760252365935,5.91,-1.18,-0.08,2.05,0.332,34,"-0.031054606",0.34,0.395,"0.031054606",-0.007,-0.008000000000000007,-0.034,-0.015,26.9,"37.3",8.590565688537152,1.1859975754353138,33.82827167004453,0.4905482041587902,38.04942985237761,28.343778342966445
2394,554430,"Wheeler, Zack",2394,100,0.197,0.151,0.267,0.349,0.264,0.253,0.195,107,542,87.3,13,2431,91.5,92.85,379,1205,1189,1.2999999999999972,7.18,112,148,114,149,292,320,290,"23.796","-23.796","69.6","7.1",585,349,65,21,2,19,195,33.3,33,5.6,2.11236,0.65791,0.41741,0.03804,"91.0",157,34.097421203438394,7.163323782234957,4.273504273504273,5.16,-2.07,0.05,2.42,0.253,25,"-0.993984962",0.251,0.322,"0.993984962",0.002,0.0020000000000000018,0.027,0.011,31.5,"23.2",7.9962040680250395,1.1075983415370114,32.14532163128038,0.4652542372881356,35.63416010648338,28.378540497398582
2384,669022,"Gore, MacKenzie",2384,100,0.255,0.146,0.336,0.4,0.316,0.315,0.243,133,522,89.2,16.1,2236,89.8,90.58,360,1181,1203,0.7999999999999972,6.88,108,150,121,149,299,322,298,"3.434","-3.434","69.2","7.2",582,364,92,23,1,17,165,28.4,48,8.2,2.33258,0.54554,0.25765,-0.19503,"91.5",170,42.582417582417584,9.340659340659341,5.841924398625429,5.69,1.9,-0.09,2.36,0.321,34,"-0.144043624",0.313,0.406,"0.144043624",0.012,0.008000000000000007,-0.006,0.001,30.5,"45.1",8.489919067371597,0.012441083330908122,31.291538619766516,0.45017182130584193,36.47028782448312,29.305279381714595
2381,642547,"Peralta, Freddy",2381,100,0.205,0.135,0.256,0.34,0.28,0.302,0.222,103,503,87.3,17.3,2325,90.4,91.02,332,1108,1273,0.5999999999999943,6.81,114,149,121,150,304,327,300,"14.447","-14.447","69.3","7.2",566,359,67,20,0,16,148,26.1,50,8.8,2.03449,0.81086,0.38819,-0.13411,"91.1",164,33.33333333333333,8.61111111111111,5.477031802120141,5.3,-3.47,-0.18,2.3,0.286,31,"-0.606761865",0.303,0.379,"0.606761865",-0.017,-0.017000000000000015,-0.039,-0.022,30,"38.3",9.331707987703048,-1.3000599872222856,32.03166868001622,0.48073394495412847,37.14808901989711,29.84147755600078
