"last_name, first_name",player_id,pa,k_percent,bb_percent,woba,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,oz_swing_percent,oz_contact_percent,out_zone_percent,whiff_percent,swing_percent
"Abbott, Andrew",671096,499,21.0,7.0,0.276,0.297,33.0,7.3,32.4,77.149288171,93.114612286,69.6,29.8,63.5,49.1,23.9,50.1
"Alcantara, Sandy",645261,557,17.4,8.6,0.328,0.353,34.8,8.6,44.0,79.739319303,94.941419925,66.8,28.1,61.2,48.4,19.5,48.0
"Allen, Logan",671106,510,18.0,9.4,0.323,0.34,32.9,9.6,37.0,77.094059171,94.068055442,65.7,23.3,66.0,50.8,20.3,44.2
"Anderson, Tyler",542881,557,17.6,9.3,0.345,0.347,40.8,10.1,35.6,76.272886139,93.76126928,69.4,29.0,57.5,51.1,25.2,48.8
"Bassitt, Chris",605135,600,22.0,6.5,0.332,0.327,34.1,8.6,35.5,75.114608696,93.771760628,67.2,26.0,63.3,47.5,22.7,47.6
"Baz, Shane",669358,576,24.3,8.7,0.332,0.31,30.6,9.5,40.6,77.986801164,94.326761508,67.9,28.6,51.5,47.4,25.6,49.3
"Bello, Brayan",678394,538,18.0,8.4,0.303,0.334,29.8,7.3,38.9,76.946166042,93.957751901,66.4,27.1,56.1,50.9,20.2,46.4
"Berríos, José",621244,590,20.2,8.3,0.316,0.342,33.7,11.1,41.1,79.25864568,94.506485413,66.9,29.3,60.5,53.0,22.2,47.0
"Bibee, Tanner",676440,579,21.4,7.4,0.322,0.307,29.1,7.9,39.0,77.55189015,94.240398997,65.4,24.5,53.5,48.1,24.4,45.7
"Boyd, Matthew",571510,558,22.6,5.4,0.268,0.29,29.7,7.8,37.0,76.858305744,93.788030923,70.7,29.9,61.8,46.0,22.5,51.9
"Bradley, Taj",671737,471,20.2,9.3,0.303,0.311,29.9,6.1,39.2,78.248866582,94.189735238,69.1,26.3,53.8,49.4,22.3,48.3
"Brown, Ben",676962,426,24.4,6.6,0.346,0.34,35.5,11.0,47.2,82.515026573,95.489117133,64.5,28.9,40.8,46.6,27.1,47.9
"Brown, Hunter",686613,558,29.4,7.7,0.256,0.281,31.8,5.5,32.1,74.152445756,93.292414709,61.6,29.3,54.4,52.4,28.2,44.6
"Bubic, Kris",663460,476,24.4,8.2,0.278,0.284,32.1,6.6,39.3,75.386163962,93.984739716,64.8,32.4,51.8,48.1,28.8,49.2
"Buehler, Walker",621111,477,16.4,10.3,0.359,0.372,35.3,9.7,39.7,76.300187515,94.321596647,65.9,26.0,65.1,52.8,19.4,44.9
"Burke, Sean",680732,522,21.1,10.3,0.34,0.354,38.9,10.2,41.2,77.684775805,94.518661182,67.0,26.3,58.2,50.4,24.3,46.5
"Cabrera, Edward",665795,470,25.5,8.1,0.29,0.312,30.5,8.2,44.6,78.590474305,94.902609536,59.6,30.6,44.9,50.8,29.3,44.8
"Cameron, Noah",702070,395,19.7,7.1,0.265,0.296,26.9,4.9,38.1,76.401018723,93.988565125,65.8,26.1,51.6,47.9,26.3,46.8
"Cannon, Jonathan",686563,429,17.7,8.2,0.356,0.364,36.7,10.3,45.0,79.434912662,94.957388604,71.0,25.2,60.8,49.1,21.1,48.5
"Castillo, Luis",622491,595,21.0,6.4,0.308,0.325,32.6,10.1,47.2,79.363697783,95.136800189,73.9,28.4,59.8,49.7,23.8,51.3
"Cease, Dylan",656302,570,30.0,9.8,0.308,0.298,36.1,9.8,41.1,78.264361369,94.287790866,69.5,30.6,43.3,53.5,33.9,48.7
"Cecconi, Slade",677944,385,19.7,6.8,0.337,0.373,39.6,12.9,49.3,82.197062609,95.45479692,67.7,22.9,56.0,46.0,22.8,47.1
"Corbin, Patrick",571578,509,19.4,7.9,0.332,0.337,36.1,7.3,37.8,77.71295558,93.964675414,63.7,30.2,52.2,52.4,25.9,46.2
"Crochet, Garrett",676979,611,30.8,6.5,0.27,0.278,31.4,7.3,37.7,75.060543723,93.979250346,68.8,32.2,49.7,47.2,29.4,51.5
"Elder, Bryce",693821,478,18.2,8.6,0.36,0.364,35.1,8.7,45.8,78.352655291,95.296895831,65.3,26.1,52.7,52.2,21.4,44.9
"Eovaldi, Nathan",543135,445,25.6,4.7,0.241,0.287,31.8,7.3,39.1,77.687498188,94.136848485,67.6,30.0,54.8,46.4,27.8,50.2
"Falter, Bailey",663559,505,15.6,8.9,0.319,0.346,31.8,9.5,45.5,79.630126596,94.979614335,65.9,24.1,65.4,46.2,18.0,46.6
"Fedde, Erick",607200,511,13.7,10.8,0.342,0.37,34.2,8.6,43.9,80.226181872,94.609674786,64.3,24.4,64.2,51.5,18.1,43.8
"Flaherty, Jack",656427,531,28.8,9.2,0.316,0.325,38.7,12.0,43.9,78.541273067,94.801235815,65.6,29.6,48.4,52.8,29.2,46.6
"Freeland, Kyle",607536,513,15.6,5.8,0.354,0.367,37.4,9.5,47.5,81.283958731,95.068897837,69.7,30.0,52.4,46.1,21.3,51.4
"Fried, Max",608331,617,22.9,6.0,0.284,0.306,30.9,7.4,38.4,75.49766283,93.874625825,67.4,27.1,57.5,50.7,25.2,47.0
"Gallen, Zac",668678,621,21.1,8.4,0.333,0.349,35.7,10.4,44.5,80.315141163,95.052597762,63.5,28.3,49.9,52.7,24.5,45.0
"Gausman, Kevin",592332,574,24.0,7.0,0.276,0.31,36.8,9.2,40.4,78.739426701,94.454011469,71.5,30.8,52.8,49.4,26.4,51.4
"Giolito, Lucas",608337,444,19.6,7.7,0.31,0.36,40.2,10.0,41.7,80.225306313,94.921047868,68.2,28.1,57.1,48.6,22.5,48.7
"Gore, MacKenzie",669022,582,28.4,8.2,0.316,0.315,37.4,9.3,42.6,79.2362355,94.624655599,70.2,30.2,47.4,51.6,30.5,49.5
"Gray, Sonny",543243,577,26.9,4.2,0.312,0.312,36.5,9.7,38.8,76.957051888,94.29895954,63.4,31.6,46.4,48.5,26.6,48.0
"Gusto, Ryan",687473,405,23.5,7.4,0.331,0.325,32.6,9.1,45.3,79.968608832,94.956171423,69.0,25.1,58.7,45.3,24.7,49.1
"Heaney, Andrew",571760,514,16.1,7.4,0.349,0.369,37.5,10.4,44.3,79.398276508,95.034209257,65.2,28.9,67.4,48.8,19.7,47.5
